id;jhi_from;jhi_to;body;jhi_order;emitted_date;received_date;read_date;latitude;longitud
1;Solutions Cove;Agent;payment violet;92538;2020-04-06;2020-04-06;2020-04-07;90030;68977
2;Swiss Franc;metrics FTP invoice;orchestrate;72263;2020-04-07;2020-04-07;2020-04-07;84479;30121
3;executive card;Falkland Islands (Malvinas) sensor solid state;plug-and-play;19867;2020-04-07;2020-04-06;2020-04-07;89151;93096
4;Regional;Small Frozen Bacon supply-chains indigo;West Virginia Texas;51655;2020-04-07;2020-04-07;2020-04-06;37649;42067
5;Tuvalu Ergonomic;virtual;Global Bedfordshire virtual;91707;2020-04-06;2020-04-07;2020-04-07;1288;36567
6;initiatives synthesize Money Market Account;Fish Money Market Account Bermudian Dollar (customarily known as Bermuda Dollar);Table;72009;2020-04-07;2020-04-07;2020-04-07;52233;9064
7;white;Handcrafted Nebraska markets;maroon Mountains;41298;2020-04-07;2020-04-07;2020-04-06;6786;19314
8;Sao Tome and Principe Developer;Investment Account budgetary management;multi-state;63309;2020-04-07;2020-04-07;2020-04-07;59177;44387
9;bandwidth;JBOD;alarm white bypass;37573;2020-04-07;2020-04-06;2020-04-06;71065;82485
10;Cheese Vermont;Borders;United Arab Emirates Cambridgeshire eyeballs;78903;2020-04-06;2020-04-07;2020-04-06;3920;69700
